n_steps,time,mean_reward
39,0h2min7s,0.75
79,0h5min17s,0.4
93,0h8min1s,0.37
105,0h9min45s,0.39
172,0h12min45s,0.37
216,0h15min55s,0.38
269,0h17min9s,0.37
382,0h18min14s,0.4
479,0h19min34s,0.41
607,0h21min51s,0.42
850,0h23min13s,0.44
1039,0h24min19s,0.46
1042,0h26min54s,0.46
1163,0h28min7s,0.48
1218,0h31min0s,0.48
1454,0h32min7s,0.49
1830,0h33min9s,0.5
2152,0h34min27s,0.52
2486,0h35min55s,0.53
2783,0h39min27s,0.54
3156,0h40min37s,0.55
3458,0h41min39s,0.56
3936,0h42min39s,0.58
4248,0h43min46s,0.6
4740,0h44min58s,0.62
5106,0h46min1s,0.64
5539,0h47min20s,0.66
5937,0h48min29s,0.68
6358,0h49min42s,0.69
6686,0h50min49s,0.7
6689,0h53min24s,0.7
7425,0h54min32s,0.72
7688,0h56min7s,0.73
