n_steps,time,mean_reward
14,0h2min4s,0.31
29,0h5min17s,0.29
58,0h6min40s,0.34
79,0h8min35s,0.3
92,0h11min21s,0.27
108,0h14min7s,0.25
145,0h15min28s,0.26
170,0h18min18s,0.27
181,0h21min6s,0.28
217,0h22min22s,0.28
247,0h25min52s,0.27
283,0h27min19s,0.28
340,0h28min19s,0.28
349,0h30min56s,0.27
384,0h32min17s,0.27
404,0h33min33s,0.27
463,0h34min43s,0.28
505,0h36min5s,0.28
552,0h37min15s,0.29
647,0h38min26s,0.3
688,0h39min52s,0.29
706,0h41min55s,0.3
766,0h43min0s,0.31
790,0h45min45s,0.31
822,0h47min19s,0.32
844,0h50min6s,0.32
851,0h52min31s,0.32
862,0h54min36s,0.32
865,0h57min13s,0.32
892,0h58min45s,0.32
947,0h59min54s,0.32
1036,1h0min55s,0.33
1076,1h4min3s,0.32
1082,1h6min24s,0.32
1159,1h7min30s,0.33
1164,1h9min42s,0.33
1276,1h11min0s,0.35
1343,1h12min2s,0.36
1450,1h13min9s,0.36
1560,1h14min24s,0.37
1706,1h15min25s,0.38
