Wall time,Step,Value
1736482349.9879117,500,-16.511104583740234
1736483394.858191,1000,-4.145590782165527
1736483928.232925,1500,1.0628058910369873
1736484284.4704807,2000,1.072292685508728
1736484456.5034015,2500,2.120997190475464
1736484680.1371262,3000,2.1193971633911133
1736484905.2703063,3500,2.1250412464141846
1736484986.4841752,4000,2.1519036293029785
1736485050.5423665,4500,2.204092264175415
1736485096.8848407,5000,2.2912895679473877
1736485161.0307474,5500,2.318929672241211
1736485199.5875552,6000,2.334254264831543
1736485211.9366262,6500,2.320932626724243
1736485253.9992435,7000,1.2959117889404297
1736485274.8672493,7500,1.2821133136749268
1736485287.3150618,8000,2.292980670928955
1736485291.233147,8500,2.32840633392334
1736485346.5188434,9000,2.3524253368377686
1736485359.0190077,9500,2.351318597793579
1736485367.1306038,10000,2.367645263671875
