n_steps,time,mean_reward
3029,0h3min10s,0.31
6067,0h6min11s,0.31
6348,0h7min12s,0.22
6568,0h8min15s,0.2
6767,0h9min20s,0.2
9916,0h12min7s,0.21
13074,0h15min50s,0.21
16075,0h18min35s,0.21
19076,0h20min57s,0.22
22077,0h22min43s,0.22
25105,0h24min54s,0.21
28106,0h27min11s,0.22
31136,0h29min26s,0.22
32112,0h30min40s,0.24
35274,0h33min40s,0.25
38330,0h36min54s,0.25
41459,0h38min46s,0.26
44460,0h41min5s,0.26
44967,0h42min12s,0.27
48444,0h46min1s,0.27
51506,0h49min7s,0.28
54564,0h51min57s,0.28
57741,0h55min28s,0.29
60779,0h56min29s,0.29
61051,0h57min31s,0.29
64136,0h58min39s,0.29
67183,1h0min19s,0.29
70184,1h2min45s,0.29
73249,1h4min43s,0.29
