n_steps,time,mean_reward
3000,0h2min5s,0.56
6025,0h4min16s,0.38
6302,0h5min21s,0.29
6600,0h6min30s,0.3
9601,0h9min32s,0.3
12807,0h14min1s,0.31
15808,0h16min58s,0.33
18876,0h20min30s,0.33
21949,0h23min50s,0.33
24950,0h25min4s,0.33
27951,0h27min24s,0.34
30952,0h30min9s,0.34
33953,0h32min52s,0.35
36954,0h35min30s,0.34
40131,0h38min37s,0.34
43182,0h41min49s,0.33
46183,0h44min14s,0.33
49184,0h47min11s,0.33
52370,0h50min9s,0.34
55457,0h51min51s,0.34
58573,0h54min57s,0.34
61635,0h56min51s,0.34
64636,0h58min51s,0.34
67811,1h0min36s,0.34
70812,1h2min53s,0.34
71865,1h4min12s,0.34
75008,1h7min3s,0.34
75217,1h8min10s,0.33
75475,1h9min12s,0.33
78476,1h11min53s,0.33
81477,1h14min25s,0.33
