n_steps,time,mean_reward,mean_length
565,0h0min3s,0.26,56.5
1217,0h0min9s,0.31,60.85
2267,0h0min30s,0.35,75.57
3134,0h0min47s,0.37,78.35
3841,0h1min4s,0.36,76.82
4696,0h1min22s,0.38,81.49
5633,0h1min41s,0.38,89.71
6560,0h2min3s,0.38,86.14
7642,0h2min27s,0.36,90.35
8639,0h2min50s,0.36,94.18
9578,0h3min10s,0.36,96.47
10517,0h3min30s,0.35,97.73
11480,0h3min53s,0.34,97.12
12196,0h4min8s,0.32,92.71
12998,0h4min26s,0.3,86.25
13991,0h4min47s,0.28,87.18
14654,0h5min2s,0.27,81.45
15614,0h5min21s,0.27,83.43
16544,0h5min42s,0.3,87.22
17377,0h6min0s,0.31,87.24
18287,0h6min17s,0.32,84.98
19066,0h6min35s,0.33,88.47
19998,0h6min55s,0.33,87.92
20938,0h7min15s,0.31,88.12
21777,0h7min32s,0.32,87.63
22746,0h7min53s,0.32,88.27
23639,0h8min13s,0.33,91.63
24239,0h8min29s,0.31,85.12
25234,0h8min50s,0.31,86.2
25929,0h9min6s,0.29,83.37
27050,0h9min31s,0.27,86.35
27995,0h9min51s,0.27,86.33
28985,0h10min14s,0.28,95.02
30150,0h10min37s,0.28,98.35
30821,0h10min53s,0.27,96.37
31854,0h11min16s,0.26,95.31
32758,0h11min34s,0.24,96.18
33688,0h11min55s,0.21,93.57
34460,0h12min12s,0.2,84.94
35524,0h12min35s,0.22,93.31
36455,0h12min56s,0.22,92.71
37562,0h13min20s,0.24,96.16
38508,0h13min41s,0.24,96.47
39281,0h13min57s,0.24,96.49
40263,0h14min16s,0.26,93.75
40852,0h14min30s,0.26,86.8
41902,0h14min54s,0.25,87.71
42977,0h15min19s,0.26,89.59
43694,0h15min34s,0.26,88.49
44762,0h15min57s,0.26,90.18
45827,0h16min20s,0.28,100.14
46575,0h16min36s,0.25,95.0
47552,0h16min58s,0.25,90.29
48636,0h17min21s,0.27,99.96
49858,0h17min48s,0.28,103.16
50840,0h18min11s,0.28,100.25
51773,0h18min34s,0.3,102.65
52834,0h18min57s,0.3,104.63
54102,0h19min28s,0.31,109.14
55069,0h19min49s,0.28,104.14
55774,0h20min5s,0.27,97.12
56879,0h20min31s,0.27,104.0
57872,0h20min53s,0.26,101.92
58985,0h21min16s,0.23,97.06
60041,0h21min39s,0.24,100.41
60971,0h21min59s,0.21,103.86
61947,0h22min20s,0.18,102.14
62826,0h22min39s,0.15,98.39
63822,0h23min2s,0.15,98.69
64596,0h23min21s,0.12,91.9
65498,0h23min42s,0.13,90.73
66696,0h24min9s,0.16,95.08
67772,0h24min34s,0.17,97.59
68864,0h24min58s,0.16,100.82
69868,0h25min22s,0.18,105.33
70848,0h25min47s,0.19,106.0
71639,0h26min5s,0.2,98.22
72801,0h26min33s,0.21,99.88
73793,0h26min53s,0.19,98.61
74815,0h27min19s,0.21,99.9
75989,0h27min45s,0.19,102.76
76989,0h28min8s,0.14,106.86
77929,0h28min27s,0.11,103.65
78900,0h28min49s,0.1,102.1
79789,0h29min8s,0.06,99.49
80838,0h29min31s,0.05,97.04
81929,0h29min54s,0.06,98.82
82964,0h30min19s,0.12,100.63
83979,0h30min46s,0.15,101.55
84845,0h31min7s,0.2,101.1
85876,0h31min35s,0.22,100.75
86892,0h31min58s,0.25,99.27
87847,0h32min21s,0.21,97.06
