n_steps,time,mean_reward,mean_length
442,0h0min3s,0.3,44.2
1096,0h0min9s,0.3,54.8
1549,0h0min19s,0.3,51.63
2078,0h0min32s,0.31,51.95
2621,0h0min47s,0.3,52.42
3065,0h0min58s,0.3,52.2
3924,0h1min18s,0.3,57.41
4883,0h1min39s,0.31,66.67
5865,0h2min2s,0.28,74.61
6679,0h2min21s,0.27,80.84
7437,0h2min38s,0.26,86.41
8363,0h3min0s,0.27,88.33
8899,0h3min14s,0.23,79.76
9808,0h3min37s,0.25,78.84
10444,0h3min54s,0.27,75.59
10971,0h4min8s,0.27,71.37
11656,0h4min27s,0.26,66.53
12347,0h4min44s,0.27,68.24
12923,0h4min59s,0.27,62.49
13593,0h5min16s,0.24,63.22
14199,0h5min30s,0.24,64.65
14994,0h5min49s,0.22,67.41
15754,0h6min8s,0.23,68.76
16663,0h6min28s,0.21,74.25
17567,0h6min50s,0.24,78.43
18280,0h7min8s,0.26,80.51
19132,0h7min28s,0.27,82.08
20070,0h7min50s,0.25,85.02
20864,0h8min11s,0.28,84.33
21521,0h8min28s,0.26,79.49
22279,0h8min47s,0.26,79.75
22887,0h9min4s,0.24,73.96
23422,0h9min21s,0.24,67.69
24352,0h9min42s,0.24,69.75
25112,0h10min0s,0.24,74.22
25893,0h10min17s,0.22,71.35
26588,0h10min34s,0.24,74.53
27283,0h10min52s,0.23,76.24
28046,0h11min12s,0.23,73.0
28576,0h11min26s,0.23,68.1
29512,0h11min48s,0.25,72.92
30075,0h12min1s,0.25,69.51
30701,0h12min17s,0.24,68.98
31265,0h12min32s,0.22,63.69
32140,0h12min53s,0.23,71.84
32735,0h13min7s,0.22,64.22
33374,0h13min22s,0.2,65.41
34203,0h13min41s,0.23,69.37
34925,0h13min59s,0.25,71.86
35306,0h14min11s,0.24,65.43
36208,0h14min33s,0.23,68.59
37110,0h14min52s,0.25,73.92
37733,0h15min7s,0.24,70.45
38146,0h15min18s,0.21,65.76
38611,0h15min31s,0.21,65.25
39245,0h15min48s,0.21,61.51
40080,0h16min8s,0.22,60.02
40806,0h16min27s,0.22,61.55
41640,0h16min49s,0.24,68.75
42516,0h17min11s,0.27,77.67
43192,0h17min29s,0.26,78.33
43767,0h17min46s,0.26,75.18
44408,0h18min4s,0.26,71.57
44984,0h18min18s,0.24,68.2
45694,0h18min36s,0.22,63.55
46527,0h18min59s,0.21,65.98
47059,0h19min13s,0.21,67.14
47629,0h19min29s,0.19,63.92
48162,0h19min44s,0.21,64.27
48650,0h19min57s,0.2,59.92
49341,0h20min15s,0.22,55.75
50256,0h20min36s,0.24,63.29
50978,0h20min56s,0.26,67.63
51476,0h21min9s,0.24,66.94
52149,0h21min26s,0.25,69.88
52640,0h21min40s,0.23,65.14
53509,0h22min1s,0.22,64.75
54229,0h22min19s,0.18,64.35
54898,0h22min38s,0.19,69.06
55477,0h22min54s,0.17,67.22
56354,0h23min17s,0.18,73.88
56992,0h23min33s,0.17,71.41
57398,0h23min46s,0.18,64.1
58181,0h24min7s,0.19,65.59
58931,0h24min24s,0.21,68.8
59497,0h24min40s,0.2,63.59
60304,0h25min1s,0.2,65.33
60947,0h25min20s,0.21,70.57
61567,0h25min37s,0.2,66.92
62435,0h25min58s,0.19,69.2
63018,0h26min14s,0.2,69.65
63747,0h26min35s,0.21,68.33
64259,0h26min49s,0.21,66.9
64890,0h27min7s,0.23,66.14
65491,0h27min23s,0.21,61.88
66212,0h27min43s,0.21,62.78
66772,0h28min0s,0.21,61.27
67389,0h28min16s,0.19,62.14
68302,0h28min40s,0.22,68.86
69103,0h29min0s,0.24,71.53
69648,0h29min15s,0.25,67.8
70431,0h29min34s,0.26,73.71
71005,0h29min50s,0.27,72.86
71645,0h30min7s,0.24,66.12
72256,0h30min25s,0.23,62.8
72962,0h30min46s,0.24,67.96
73504,0h31min2s,0.22,60.63
74361,0h31min26s,0.23,66.49
75051,0h31min46s,0.22,67.61
75571,0h32min2s,0.22,65.59
76431,0h32min27s,0.2,70.98
77155,0h32min48s,0.22,72.88
78001,0h33min10s,0.21,73.33
78846,0h33min32s,0.23,75.0
79383,0h33min48s,0.22,75.82
80189,0h34min12s,0.21,74.16
80711,0h34min27s,0.2,70.55
81515,0h34min48s,0.22,69.92
82266,0h35min8s,0.2,69.02
83028,0h35min30s,0.23,72.39
83616,0h35min47s,0.22,69.16
84284,0h36min4s,0.21,72.02
85024,0h36min24s,0.22,69.78
85739,0h37min30s,0.23,68.65
86425,0h37min50s,0.21,68.0
87104,0h38min10s,0.24,70.35
87920,0h38min35s,0.23,73.84
88617,0h38min53s,0.21,72.18
89377,0h39min13s,0.2,71.71
90179,0h39min35s,0.21,74.06
91078,0h40min2s,0.22,78.84
91587,0h40min17s,0.24,73.86
92216,0h40min36s,0.23,71.06
92902,0h40min55s,0.23,69.88
93648,0h41min16s,0.24,69.98
94087,0h41min29s,0.23,62.41
94625,0h41min46s,0.22,60.04
95203,0h42min2s,0.24,59.47

