
n_steps,time,mean_reward,mean_length
732,0h0min5s,0.36,73.2
1282,0h0min14s,0.33,64.1
1735,0h0min25s,0.3,57.83
2528,0h0min45s,0.33,63.2
3410,0h1min8s,0.34,68.2
4119,0h1min26s,0.33,67.57
4966,0h1min47s,0.33,73.18
5857,0h2min9s,0.32,81.31
6476,0h2min25s,0.27,79.37
7279,0h2min46s,0.25,79.39
7862,0h3min1s,0.22,75.35
8672,0h3min22s,0.22,75.04
9365,0h3min42s,0.24,70.41
10072,0h4min2s,0.24,71.61
10968,0h4min25s,0.25,74.29
12066,0h4min53s,0.28,83.35
12889,0h5min15s,0.3,83.12
13511,0h5min31s,0.3,83.25
14202,0h5min49s,0.31,82.94
14810,0h6min4s,0.29,76.73
15851,0h6min29s,0.3,78.25
16779,0h6min53s,0.27,78.24
17452,0h7min12s,0.26,77.71
18308,0h7min35s,0.27,82.47
19069,0h7min56s,0.29,83.94
19714,0h8min14s,0.26,76.98
20387,0h8min33s,0.27,73.06
21162,0h8min55s,0.27,73.12
22157,0h9min21s,0.27,77.43
23168,0h9min47s,0.26,81.94
23936,0h10min8s,0.27,84.75
24954,0h10min32s,0.29,92.43
25920,0h10min56s,0.28,95.75
26892,0h11min22s,0.29,94.8
27573,0h11min41s,0.29,89.55
28406,0h12min4s,0.28,89.61
29454,0h12min30s,0.29,89.35
29981,0h12min45s,0.28,82.02
30855,0h13min9s,0.26,79.67
31624,0h13min30s,0.26,81.06
32530,0h13min54s,0.26,84.53
33566,0h14min23s,0.25,82.59
34337,0h14min45s,0.25,85.88
35174,0h15min8s,0.27,85.18
36116,0h15min30s,0.27,90.04
37225,0h16min0s,0.29,94.02
38014,0h16min21s,0.27,90.1
38664,0h16min39s,0.26,85.29
39391,0h16min59s,0.24,83.0
40063,0h17min18s,0.24,77.75
40918,0h17min40s,0.22,75.43
41664,0h18min2s,0.21,74.57
42502,0h18min25s,0.23,77.22
43488,0h18min51s,0.25,81.06
44316,0h19min15s,0.23,85.35
45251,0h19min41s,0.23,86.92
46319,0h20min7s,0.23,91.65
47189,0h20min32s,0.19,93.86
48010,0h20min54s,0.17,90.57
48826,0h21min18s,0.19,89.76
49591,0h21min40s,0.19,87.45
50425,0h22min3s,0.19,82.47
51223,0h22min26s,0.21,81.06
52038,0h22min49s,0.2,80.94
53033,0h23min14s,0.2,84.45
53840,0h23min36s,0.2,84.22
54792,0h24min2s,0.2,88.1
55716,0h24min26s,0.21,90.06
56580,0h24min49s,0.2,91.02
57264,0h25min9s,0.19,84.88
58022,0h25min30s,0.18,83.96
58892,0h25min54s,0.18,82.35
59768,0h26min18s,0.16,80.14
60673,0h26min43s,0.17,82.22
61535,0h27min8s,0.17,85.71
62477,0h27min31s,0.18,88.16
63392,0h27min58s,0.18,89.96
64307,0h28min24s,0.18,90.96
65246,0h28min51s,0.15,89.84
66170,0h29min18s,0.15,90.98
66997,0h29min41s,0.17,90.59
67868,0h30min6s,0.15,89.73
68674,0h30min30s,0.16,87.59
69429,0h30min52s,0.18,83.98
69834,0h31min4s,0.19,73.8
70846,0h31min35s,0.18,78.75
71696,0h31min59s,0.19,75.35
72653,0h32min28s,0.2,80.47
73545,0h32min55s,0.21,81.37
74398,0h33min21s,0.2,89.96
75347,0h33min48s,0.22,90.22
76224,0h34min16s,0.21,90.75
76916,0h34min39s,0.22,86.75
77782,0h35min2s,0.24,83.96
78701,0h35min29s,0.25,84.98
79614,0h35min55s,0.22,85.63
80508,0h36min18s,0.2,85.96
81207,0h36min40s,0.19,85.29
81954,0h37min2s,0.17,83.76
82780,0h37min25s,0.16,81.94
83504,0h37min48s,0.18,78.24
84212,0h38min9s,0.19,74.59
84946,0h38min29s,0.2,73.88
85788,0h38min53s,0.18,77.14
86690,0h39min17s,0.17,78.63
87532,0h39min44s,0.17,79.9
88327,0h40min10s,0.17,81.63
89228,0h40min37s,0.16,85.92
90020,0h41min0s,0.19,84.94
90926,0h41min26s,0.19,85.02
91585,0h41min46s,0.19,81.43
92508,0h42min12s,0.17,82.51
93481,0h42min40s,0.17,85.35
94359,0h43min8s,0.18,87.04
95211,0h43min37s,0.19,85.98
95975,0h44min2s,0.21,88.04
96650,0h44min24s,0.2,83.18
97350,0h44min45s,0.21,77.82
98389,0h45min14s,0.21,80.98
99015,0h45min35s,0.22,75.47
99660,0h45min56s,0.21,74.22
100550,0h46min23s,0.23,78.43
101395,0h46min52s,0.23,81.27
102402,0h47min22s,0.22,79.47
103402,0h47min56s,0.2,86.49
104311,0h48min25s,0.18,91.96
105226,0h48min57s,0.14,91.9
106121,0h49min26s,0.11,94.63
107061,0h49min56s,0.1,94.0
107892,0h50min20s,0.1,90.0
108849,0h50min50s,0.12,90.94
109873,0h51min20s,0.17,93.08
110619,0h51min43s,0.2,90.16
111411,0h52min9s,0.22,87.25
112291,0h52min33s,0.24,88.22
113021,0h52min58s,0.24,83.76
113838,0h53min20s,0.23,79.71
114869,0h53min51s,0.24,85.45
115634,0h54min13s,0.26,83.1
116614,0h54min42s,0.25,86.14
117533,0h55min8s,0.22,90.43
118451,0h55min39s,0.23,92.41
119412,0h56min7s,0.21,89.45
120178,0h56min32s,0.21,91.06
121132,0h56min59s,0.2,90.55
122052,0h57min29s,0.2,90.57
122896,0h57min56s,0.18,89.12
123773,0h58min22s,0.18,86.1
124681,0h58min51s,0.19,90.25
125535,0h59min18s,0.19,88.29
126332,0h59min43s,0.18,85.88
127332,1h0min15s,0.17,88.94
128230,1h0min45s,0.17,88.49
129100,1h1min13s,0.16,88.61
130176,1h1min46s,0.16,92.96
131176,1h2min17s,0.13,96.94
132117,1h2min46s,0.15,95.78
132796,1h3min9s,0.13,90.73
133667,1h3min33s,0.1,91.51
134391,1h3min55s,0.09,84.61
135209,1h4min22s,0.1,81.04
136162,1h4min51s,0.08,81.27
137038,1h5min17s,0.08,84.61
137913,1h5min47s,0.1,85.22
138806,1h6min15s,0.12,89.37
139876,1h6min49s,0.12,93.47
140697,1h7min14s,0.11,89.96
141513,1h7min37s,0.11,89.71
142513,1h8min7s,0.08,92.16
143513,1h8min38s,0.06,95.75
144416,1h9min7s,0.06,90.98
145188,1h9min33s,0.08,90.02
146188,1h10min3s,0.07,91.8
147013,1h10min30s,0.08,90.2
147971,1h11min0s,0.09,89.37
148743,1h11min26s,0.09,84.96
149544,1h11min52s,0.08,87.37
150473,1h12min22s,0.09,85.98
151428,1h12min55s,0.09,86.71
152428,1h13min27s,0.08,89.35
153275,1h13min56s,0.07,90.82
154181,1h14min25s,0.07,91.27
155228,1h14min58s,0.1,95.2
156018,1h15min23s,0.12,91.96
