n_steps,time,mean_reward
3,0h2min23s,0.38
7,0h4min57s,0.25
94,0h5min58s,0.35
115,0h7min18s,0.39
157,0h8min47s,0.4
169,0h10min55s,0.41
280,0h11min57s,0.48
315,0h14min42s,0.47
423,0h15min54s,0.51
466,0h18min55s,0.5
642,0h22min2s,0.51
870,0h23min4s,0.53
1151,0h24min9s,0.55
1505,0h25min14s,0.56
1784,0h26min18s,0.57
1881,0h27min29s,0.58
2324,0h28min43s,0.59
3069,0h29min51s,0.63
4235,0h30min53s,0.65
4847,0h31min55s,0.67
5842,0h33min1s,0.69
6704,0h34min3s,0.72
7103,0h35min6s,0.73
7777,0h36min9s,0.74
8273,0h37min16s,0.75
9241,0h38min24s,0.77
9823,0h39min29s,0.78
10208,0h40min33s,0.79
10541,0h41min35s,0.79
10766,0h42min35s,0.78
11282,0h43min37s,0.79
11787,0h44min42s,0.79
12378,0h45min42s,0.79
12425,0h48min19s,0.78
12963,0h49min24s,0.78
13084,0h51min8s,0.78
13274,0h52min11s,0.78
13727,0h53min17s,0.78
14153,0h54min19s,0.78
14529,0h55min19s,0.78
14956,0h56min22s,0.79
