n_steps,time,mean_reward
45,0h1min16s,0.41
57,0h3min58s,0.38
60,0h6min33s,0.3
67,0h8min57s,0.31
107,0h11min48s,0.35
157,0h13min3s,0.38
250,0h14min3s,0.43
368,0h15min7s,0.49
416,0h16min11s,0.48
502,0h17min16s,0.51
561,0h18min37s,0.5
662,0h19min42s,0.52
785,0h20min57s,0.52
1087,0h22min19s,0.53
1176,0h23min21s,0.53
1466,0h24min21s,0.55
1828,0h25min34s,0.56
2252,0h26min48s,0.57
2551,0h27min55s,0.58
2653,0h30min56s,0.57
2748,0h32min26s,0.57
3159,0h33min41s,0.58
3539,0h34min53s,0.59
3837,0h35min58s,0.62
4075,0h37min3s,0.63
4336,0h38min14s,0.64
4731,0h39min16s,0.65
5123,0h40min23s,0.65
5558,0h41min29s,0.66
6084,0h42min38s,0.68
6241,0h43min54s,0.68
6720,0h45min14s,0.69
6899,0h47min11s,0.7
8377,0h48min44s,0.71
9148,0h49min55s,0.72
9661,0h51min7s,0.72
10066,0h52min14s,0.73
10722,0h53min27s,0.73
11448,0h54min31s,0.73
