Wall time,Step,mean_reward,time,mean_reward1
0.0,500,0.41,0h0min0s,-173.0015869140625
38.68599057197571,1000,0.63,0h0min38s,261.885009765625
68.60648131370544,1500,0.78,0h1min8s,562.0255126953125
97.61162495613098,2000,0.84,0h1min37s,682.0759887695312
119.6777491569519,2500,0.89,0h1min59s,782.0980224609375
136.12405276298523,3000,0.91,0h2min16s,822.1119995117188
151.41851329803467,3500,0.9,0h2min31s,802.10400390625
162.99865245819092,4000,0.95,0h2min42s,902.1110229492188
171.29809498786926,4500,0.94,0h2min51s,882.1069946289062
180.95014905929563,5000,0.88,0h3min0s,762.0880126953125
191.11316108703613,5500,0.89,0h3min11s,782.093994140625
202.33702206611636,6000,0.92,0h3min22s,842.1060180664062
213.5520069599152,6500,0.88,0h3min33s,762.0919799804688
220.7239241600037,7000,0.88,0h3min40s,762.0999755859375
225.70699763298035,7500,0.91,0h3min45s,822.1019897460938
227.7540137767792,8000,0.93,0h3min47s,862.1099853515625
229.23164796829224,8500,0.97,0h3min49s,942.1279907226562
232.1123580932617,9000,0.96,0h3min52s,922.1119995117188
234.9182381629944,9500,0.95,0h3min54s,902.1199951171876
236.77924585342407,10000,0.97,0h3min56s,942.1420288085938
238.07266473770144,10500,0.99,0h3min58s,982.14599609375
240.5191388130188,11000,0.99,0h4min0s,982.1480102539062
243.0632236003876,11500,0.99,0h4min3s,982.1480102539062
244.27848529815677,12000,1.0,0h4min4s,1002.1500244140624
245.7174706459045,12500,0.98,0h4min5s,962.1420288085938
246.55384349823,13000,0.97,0h4min6s,942.1400146484376
247.89370775222775,13500,0.99,0h4min7s,982.1480102539062
249.3987512588501,14000,0.98,0h4min9s,962.1380004882812
250.74514627456665,14500,0.96,0h4min10s,922.1220092773438
252.80370473861691,15000,0.93,0h4min12s,862.1220092773438
253.60094785690308,15500,0.95,0h4min13s,902.1380004882812
254.11116766929624,16000,1.0,0h4min14s,1002.1500244140624
254.94882917404172,16500,0.99,0h4min14s,982.1480102539062
255.7986936569214,17000,0.98,0h4min15s,962.14599609375
258.12772607803345,17500,0.97,0h4min18s,942.1420288085938
258.8901333808899,18000,0.98,0h4min18s,962.1439819335938
260.2759304046631,18500,1.0,0h4min20s,1002.1500244140624
261.4666314125061,19000,1.0,0h4min21s,1002.1500244140624
262.2614026069641,19500,1.0,0h4min22s,1002.1500244140624
263.60392594337463,20000,1.0,0h4min23s,1002.1500244140624
265.3018288612366,20500,1.0,0h4min25s,1002.1500244140624
266.69299054145813,21000,1.0,0h4min26s,1002.1500244140624
268.51469826698303,21500,0.99,0h4min28s,982.14599609375
270.7875711917877,22000,0.98,0h4min30s,962.1420288085938
271.3221037387848,22500,0.99,0h4min31s,982.14599609375
272.6887173652649,23000,1.0,0h4min32s,1002.1500244140624
274.0555794239044,23500,1.0,0h4min34s,1002.1500244140624
275.12249875068665,24000,1.0,0h4min35s,1002.1500244140624
275.6773965358734,24500,1.0,0h4min35s,1002.1500244140624
276.7179391384125,25000,0.98,0h4min36s,962.1400146484376
278.0660252571106,25500,0.97,0h4min38s,942.135986328125
278.66745376586914,26000,0.99,0h4min38s,982.14599609375
279.9313757419586,26500,0.99,0h4min39s,982.14599609375
280.3875930309296,27000,0.99,0h4min40s,982.14599609375
281.0825705528259,27500,1.0,0h4min41s,1002.1500244140624
281.8013529777527,28000,1.0,0h4min41s,1002.1500244140624
283.05249547958374,28500,1.0,0h4min43s,1002.1500244140624
284.11216020584106,29000,1.0,0h4min44s,1002.1500244140624
284.99489426612854,29500,1.0,0h4min44s,1002.1500244140624
285.6514904499054,30000,1.0,0h4min45s,1002.1500244140624
286.612046957016,30500,1.0,0h4min46s,1002.1500244140624
287.60793018341064,31000,1.0,0h4min47s,1002.1500244140624
288.25337767601013,31500,0.99,0h4min48s,982.14599609375
289.096319437027,32000,0.99,0h4min49s,982.14599609375
289.8127782344818,32500,1.0,0h4min49s,1002.1500244140624
290.4616641998291,33000,0.99,0h4min50s,982.14599609375
291.55480575561523,33500,0.99,0h4min51s,982.14599609375
292.51993346214294,34000,1.0,0h4min52s,1002.1500244140624
294.06341433525085,34500,0.99,0h4min54s,982.14599609375
295.41479110717773,35000,0.96,0h4min55s,922.1259765625
296.33114528656006,35500,0.97,0h4min56s,942.1300048828124
297.1054856777191,36000,1.0,0h4min57s,1002.1500244140624
298.89639616012573,36500,0.98,0h4min58s,962.1339721679688
299.5930206775665,37000,0.98,0h4min59s,962.1339721679688
300.0585632324219,37500,0.98,0h5min0s,962.1339721679688
300.6418824195862,38000,0.98,0h5min0s,962.1339721679688
301.2851977348328,38500,1.0,0h5min1s,1002.1500244140624
301.7747025489807,39000,1.0,0h5min1s,1002.1500244140624
302.366427898407,39500,1.0,0h5min2s,1002.1500244140624
303.31484484672546,40000,1.0,0h5min3s,1002.1500244140624
