n_steps,time,mean_reward
181,0h1min0s,0.69
400,0h2min2s,0.71
629,0h3min3s,0.73
897,0h4min5s,0.74
1168,0h5min5s,0.76
1459,0h6min6s,0.76
1744,0h7min7s,0.79
2050,0h8min9s,0.8
2355,0h9min11s,0.81
2674,0h10min12s,0.84
3049,0h11min13s,0.85
3387,0h12min14s,0.9
3745,0h13min15s,0.91
4092,0h14min15s,0.91
4465,0h15min16s,0.91
4868,0h16min16s,0.91
5210,0h17min19s,0.91
5612,0h18min21s,0.92
5943,0h19min21s,0.91
6246,0h20min22s,0.92
6563,0h21min22s,0.93
6919,0h22min23s,0.93
7250,0h23min23s,0.95
7590,0h24min26s,0.95
7929,0h25min28s,0.95
8298,0h26min29s,0.93
8712,0h27min30s,0.93
9106,0h28min30s,0.92
9570,0h29min30s,0.92
10034,0h30min31s,0.92
10497,0h31min31s,0.95
10991,0h32min33s,0.96
11489,0h33min33s,0.96
12097,0h34min34s,0.95
12772,0h35min36s,0.94
13670,0h36min36s,0.96
14585,0h37min36s,0.98
15806,0h38min37s,0.96
17326,0h39min37s,0.99
19423,0h40min38s,1.0
21869,0h41min38s,0.99
23946,0h42min38s,0.98
26350,0h43min38s,0.98
29462,0h44min39s,1.0
32338,0h45min39s,0.99
34625,0h46min40s,0.99
