n_steps,time,mean_reward
144,0h1min2s,0.58
310,0h2min4s,0.6
499,0h3min6s,0.66
699,0h4min7s,0.7
881,0h5min8s,0.73
1102,0h6min12s,0.75
1319,0h7min13s,0.78
1536,0h8min14s,0.84
1782,0h9min15s,0.86
2003,0h10min17s,0.87
2241,0h11min19s,0.86
2490,0h12min22s,0.87
2736,0h13min24s,0.86
3013,0h14min24s,0.85
3325,0h15min26s,0.86
3577,0h16min29s,0.87
3881,0h17min34s,0.87
4253,0h18min36s,0.88
4580,0h19min40s,0.89
4911,0h20min41s,0.9
5278,0h21min43s,0.92
5758,0h22min43s,0.92
6259,0h23min44s,0.93
6771,0h24min46s,0.93
7309,0h25min47s,0.93
7960,0h26min49s,0.93
8578,0h27min49s,0.94
9292,0h28min50s,0.96
10083,0h29min51s,0.97
10845,0h30min51s,0.97
11635,0h31min52s,0.97
12448,0h32min52s,0.96
13344,0h33min52s,0.94
14169,0h34min53s,0.95
14944,0h35min53s,0.96
15648,0h36min54s,0.95
16610,0h37min55s,0.94
18074,0h38min55s,0.96
19438,0h39min56s,0.97
20885,0h40min56s,0.96
22897,0h41min56s,0.98
25083,0h42min57s,0.99
28139,0h43min57s,0.99
31389,0h44min57s,0.99
34366,0h45min57s,0.99
40108,0h46min58s,0.99
48998,0h47min59s,0.99
61788,0h48min59s,1.0
76795,0h49min59s,1.0
87608,0h50min59s,1.0
96260,0h51min59s,0.99
107190,0h53min0s,1.0
117725,0h54min0s,1.0
132665,0h55min0s,1.0
144814,0h56min1s,1.0
