Wall time,Step,mean_reward,time,mean_reward1
0.0,500,0.02,0h0min0s,-951.271484375
288.8948128223419,1000,0.05,0h4min48s,-900.1104736328125
462.4838254451752,1500,0.09,0h7min42s,-817.5062866210938
678.5952932834625,2000,0.14,0h11min18s,-717.3818359375
829.0514998435974,2500,0.16,0h13min49s,-677.3770141601562
964.9711685180664,3000,0.17,0h16min4s,-657.4116821289062
1108.048502922058,3500,0.14,0h18min28s,-717.455810546875
1231.067708015442,4000,0.15,0h20min31s,-697.4364013671875
1370.4615859985352,4500,0.17,0h22min50s,-657.3275756835938
1504.9217221736908,5000,0.23,0h25min4s,-537.2470703125
1612.4374461174011,5500,0.28,0h26min52s,-437.1815490722656
1706.0249192714691,6000,0.29,0h28min26s,-417.1786804199219
1799.2198102474213,6500,0.29,0h29min59s,-417.21087646484375
1897.8267540931704,7000,0.31,0h31min37s,-377.2608947753906
1975.239426612854,7500,0.35,0h32min55s,-297.2288818359375
2048.8235297203064,8000,0.38,0h34min8s,-237.2169952392578
2119.1824667453766,8500,0.42,0h35min19s,-157.1959991455078
2181.868988752365,9000,0.51,0h36min21s,22.82200050354004
2247.08119058609,9500,0.59,0h37min27s,182.88150024414065
2303.1939272880554,10000,0.69,0h38min23s,382.97650146484375
2352.947044610977,10500,0.75,0h39min12s,502.96099853515625
2398.954962491989,11000,0.85,0h39min58s,703.0364990234375
2440.5205245018005,11500,0.88,0h40min40s,763.0465087890625
2501.872076511383,12000,0.83,0h41min41s,663.0339965820312
2537.640025615692,12500,0.78,0h42min17s,563.0020141601562
2570.793602705002,13000,0.76,0h42min50s,522.968017578125
2612.1028707027435,13500,0.81,0h43min32s,622.9959716796875
2644.5406069755554,14000,0.85,0h44min4s,702.9605102539062
2670.567238330841,14500,0.86,0h44min30s,723.0045166015625
2710.4901480674744,15000,0.86,0h45min10s,723.0115966796875
2728.8607075214386,15500,0.83,0h45min28s,663.0081176757812
2748.3853318691254,16000,0.78,0h45min48s,562.9710083007812
2763.876125097275,16500,0.79,0h46min3s,582.968994140625
2786.656255722046,17000,0.79,0h46min26s,582.97802734375
2800.772139310837,17500,0.79,0h46min40s,582.9655151367188
2821.9530963897705,18000,0.78,0h47min1s,562.969482421875
2836.4635915756226,18500,0.81,0h47min16s,622.9569702148438
2853.1926307678223,19000,0.83,0h47min33s,663.0394897460938
2878.392280101776,19500,0.81,0h47min58s,623.0255126953125
2893.14650797844,20000,0.87,0h48min13s,743.093994140625
2904.168074607849,20500,0.92,0h48min24s,843.0859985351562
2923.717440843582,21000,0.96,0h48min43s,923.1019897460938
2936.4899570941925,21500,0.96,0h48min56s,923.1019897460938
2954.8510785102844,22000,0.9,0h49min14s,803.0615234375
2969.453410387039,22500,0.89,0h49min29s,783.0554809570312
2983.039306879044,23000,0.86,0h49min43s,722.9755249023438
2995.170503139496,23500,0.89,0h49min55s,782.9920043945312
2998.3371868133545,24000,0.86,0h49min58s,723.0280151367188
3005.193761587143,24500,0.85,0h50min5s,703.0579833984375
3012.498983860016,25000,0.86,0h50min12s,723.0780029296875
3027.0690248012543,25500,0.89,0h50min27s,783.0551147460938
3042.154482126236,26000,0.89,0h50min42s,783.046630859375
3060.2719345092773,26500,0.87,0h51min0s,743.0646362304688
3081.4800593853,27000,0.84,0h51min21s,683.0855102539062
3093.310487270355,27500,0.83,0h51min33s,663.093994140625
3110.8437871932983,28000,0.83,0h51min50s,663.073974609375
3125.1508691310883,28500,0.82,0h52min5s,643.0180053710938
3143.4560039043427,29000,0.78,0h52min23s,562.9600219726562
3153.263128757477,29500,0.79,0h52min33s,582.9819946289062
3162.502867937088,30000,0.8,0h52min42s,603.0059814453125
3174.2956891059875,30500,0.87,0h52min54s,743.0700073242188
3186.9145600795746,31000,0.84,0h53min6s,683.0260009765625
3202.4630398750305,31500,0.85,0h53min22s,703.0479736328125
3214.158227443695,32000,0.83,0h53min34s,663.02197265625
3223.200261116028,32500,0.87,0h53min43s,743.0640258789062
3225.937787771225,33000,0.84,0h53min45s,683.0900268554688
3231.5290489196777,33500,0.88,0h53min51s,763.1199951171875
3242.161117553711,34000,0.91,0h54min2s,823.1279907226562
3249.297563314438,34500,0.94,0h54min9s,883.135986328125
3259.904680967331,35000,0.93,0h54min19s,863.1300048828125
3265.666276693344,35500,0.93,0h54min25s,863.1300048828125
3270.743432044983,36000,0.97,0h54min30s,943.1380004882812
3273.057905435562,36500,0.98,0h54min33s,963.1439819335938
3280.78927063942,37000,0.98,0h54min40s,963.1439819335938
3284.285129308701,37500,0.95,0h54min44s,903.1179809570312
3293.366410255432,38000,0.95,0h54min53s,903.1160278320312
3296.284988641739,38500,0.94,0h54min56s,883.0960083007812
3302.2460362911224,39000,0.94,0h55min2s,883.1119995117188
3324.4026312828064,39500,0.92,0h55min24s,843.1030883789062
3333.901788711548,40000,0.89,0h55min33s,783.0831298828125
3337.535264730453,40500,0.92,0h55min37s,843.0980224609375
3343.196939229965,41000,0.93,0h55min43s,863.0980224609375
3352.4972972869878,41500,0.97,0h55min52s,943.1199951171876
3364.398497104645,42000,0.97,0h56min4s,943.1220092773438
3374.358119726181,42500,0.97,0h56min14s,943.10400390625
3389.2260439395905,43000,0.97,0h56min29s,943.1240234375
3411.161958217621,43500,0.97,0h56min51s,943.1240234375
3437.29749083519,44000,0.95,0h57min17s,903.1019897460938
3458.3358058929443,44500,0.93,0h57min38s,863.0490112304688
3479.270545721054,45000,0.9,0h57min59s,802.9970092773438
3491.7538435459137,45500,0.88,0h58min11s,763.0040283203125
3504.1487259864807,46000,0.88,0h58min24s,763.0269775390625
3522.427143573761,46500,0.9,0h58min42s,803.0709838867188
3538.6482100486755,47000,0.91,0h58min58s,823.0714721679688
3562.3892760276794,47500,0.89,0h59min22s,783.0775146484375
3585.169269800186,48000,0.86,0h59min45s,723.0494995117188
3596.000213861465,48500,0.81,0h59min56s,623.0239868164062
3601.4400527477264,49000,0.8,1h0min1s,603.0159912109375
3612.8828978538513,49500,0.84,1h0min12s,683.0255126953125
3619.199285507202,50000,0.87,1h0min19s,743.0355224609375
3629.395740509033,50500,0.89,1h0min29s,783.04150390625
3637.516805410385,51000,0.93,1h0min37s,863.0960083007812
3642.319163799286,51500,0.97,1h0min42s,943.1240234375
3648.799499750137,52000,0.99,1h0min48s,983.14599609375
3656.8610277175903,52500,0.97,1h0min56s,943.0955200195312
3664.778188705444,53000,0.96,1h1min4s,923.0875244140624
3672.90780377388,53500,0.93,1h1min12s,863.0075073242188
3680.290924787522,54000,0.94,1h1min20s,883.0560302734375
3693.667093038559,54500,0.93,1h1min33s,863.0599975585938
3702.003438234329,55000,0.96,1h1min42s,923.1420288085938
3708.785987854004,55500,0.95,1h1min48s,903.1400146484376
3716.716461658478,56000,0.94,1h1min56s,883.1380004882812
3734.881404876709,56500,0.91,1h2min14s,823.114013671875
3748.870620727539,57000,0.84,1h2min28s,683.0819702148438
