n_steps,time,mean_reward,mean_length
500,0h0min12s,0.0,500.0
1000,0h0min25s,0.0,500.0
1500,0h0min48s,0.0,500.0
2000,0h1min12s,0.0,500.0
2500,0h1min38s,0.0,500.0
3000,0h2min3s,0.0,500.0
3500,0h2min27s,0.0,500.0
4000,0h2min52s,0.0,500.0
4500,0h3min16s,0.0,500.0
5000,0h3min41s,0.0,500.0
5500,0h4min6s,0.0,500.0
6000,0h4min31s,0.0,500.0
6500,0h4min56s,0.0,500.0
7000,0h5min21s,0.0,500.0
7500,0h5min47s,0.0,500.0
8000,0h6min12s,0.0,500.0
8500,0h6min37s,0.0,500.0
9000,0h7min1s,0.0,500.0
9500,0h7min26s,0.0,500.0
10000,0h7min51s,0.0,500.0
10500,0h8min16s,0.0,500.0
11000,0h8min42s,0.0,500.0
11500,0h9min7s,0.0,500.0
12000,0h9min32s,0.0,500.0
12500,0h9min57s,0.0,500.0
13000,0h10min22s,0.0,500.0
13500,0h10min47s,0.0,500.0
14000,0h11min12s,0.0,500.0
14500,0h11min37s,0.0,500.0
15000,0h12min3s,0.0,500.0
15500,0h12min28s,0.0,500.0
16000,0h12min53s,0.0,500.0
16500,0h13min18s,0.0,500.0
17000,0h13min43s,0.0,500.0
17500,0h14min8s,0.0,500.0
18000,0h14min34s,0.0,500.0
18500,0h15min0s,0.0,500.0
19000,0h15min25s,0.0,500.0
19500,0h15min51s,0.0,500.0
20000,0h16min17s,0.0,500.0
20500,0h16min43s,0.0,500.0
21000,0h17min8s,0.0,500.0
21500,0h17min34s,0.0,500.0
22000,0h17min59s,0.0,500.0
22500,0h18min26s,0.0,500.0
23000,0h18min51s,0.0,500.0
23500,0h19min17s,0.0,500.0
24000,0h19min43s,0.0,500.0
24500,0h20min7s,0.0,500.0
25000,0h20min34s,0.0,500.0
25500,0h21min0s,0.0,500.0
26000,0h21min25s,0.0,500.0
26500,0h21min50s,0.0,500.0
27000,0h22min17s,0.0,500.0
27500,0h22min43s,0.0,500.0
28000,0h23min9s,0.0,500.0
28500,0h23min35s,0.0,500.0
29000,0h24min1s,0.0,500.0
29500,0h24min27s,0.0,500.0
30000,0h24min52s,0.0,500.0
30500,0h25min18s,0.0,500.0
31000,0h25min44s,0.0,500.0
31500,0h26min10s,0.0,500.0
32000,0h26min35s,0.0,500.0
32500,0h27min1s,0.0,500.0
33000,0h27min26s,0.0,500.0
33500,0h27min53s,0.0,500.0
34000,0h28min19s,0.0,500.0
34500,0h28min45s,0.0,500.0
35000,0h29min12s,0.0,500.0
35500,0h29min38s,0.0,500.0
36000,0h30min3s,0.0,500.0
36500,0h30min29s,0.0,500.0
37000,0h30min55s,0.0,500.0
37500,0h31min21s,0.0,500.0
38000,0h31min48s,0.0,500.0
38500,0h32min14s,0.0,500.0
39000,0h32min40s,0.0,500.0
39500,0h33min7s,0.0,500.0
40000,0h33min32s,0.0,500.0
40500,0h33min58s,0.0,500.0
41000,0h34min24s,0.0,500.0
41500,0h34min50s,0.0,500.0
42000,0h35min17s,0.0,500.0
42500,0h35min43s,0.0,500.0
43000,0h36min10s,0.0,500.0
43500,0h36min36s,0.0,500.0
44000,0h37min3s,0.0,500.0
44500,0h37min30s,0.0,500.0
45000,0h37min57s,0.0,500.0
45500,0h38min23s,0.0,500.0
46000,0h38min49s,0.0,500.0
46500,0h39min15s,0.0,500.0
47000,0h39min41s,0.0,500.0
47500,0h40min8s,0.0,500.0
48000,0h40min34s,0.0,500.0
48500,0h41min0s,0.0,500.0
49000,0h41min27s,0.0,500.0
49500,0h41min54s,0.0,500.0
50000,0h42min21s,0.0,500.0
50500,0h42min49s,0.0,500.0
51000,0h43min16s,0.0,500.0
51500,0h43min42s,0.0,500.0
52000,0h44min10s,0.0,500.0
52500,0h44min36s,0.0,500.0
53000,0h45min4s,0.0,500.0
53500,0h45min30s,0.0,500.0
54000,0h45min58s,0.0,500.0
54500,0h46min26s,0.0,500.0
55000,0h46min53s,0.0,500.0
55500,0h47min20s,0.0,500.0
56000,0h47min48s,0.0,500.0
56500,0h48min15s,0.0,500.0
57000,0h48min42s,0.0,500.0
57500,0h49min11s,0.0,500.0
58000,0h49min38s,0.0,500.0
58500,0h50min6s,0.0,500.0
59000,0h50min34s,0.0,500.0
59500,0h51min1s,0.0,500.0
60000,0h51min29s,0.0,500.0
60500,0h51min57s,0.0,500.0
61000,0h52min25s,0.0,500.0
61500,0h52min53s,0.0,500.0
62000,0h53min21s,0.0,500.0
62500,0h53min49s,0.0,500.0
63000,0h54min18s,0.0,500.0
63500,0h54min46s,0.0,500.0
64000,0h55min14s,0.0,500.0
64500,0h55min42s,0.0,500.0
65000,0h56min10s,0.0,500.0
65500,0h56min39s,0.0,500.0
66000,0h57min8s,0.0,500.0
66500,0h57min37s,0.0,500.0
67000,0h58min4s,0.0,500.0
67500,0h58min33s,0.0,500.0
68000,0h59min1s,0.0,500.0
68500,0h59min30s,0.0,500.0
69000,0h59min59s,0.0,500.0
69500,1h0min28s,0.0,500.0
