n_steps,time,mean_reward,mean_length
500,0h0min13s,0.0,500.0
1000,0h0min26s,0.0,500.0
1500,0h0min48s,0.0,500.0
2000,0h1min13s,0.0,500.0
2500,0h1min38s,0.0,500.0
3000,0h2min4s,0.0,500.0
3500,0h2min30s,0.0,500.0
4000,0h2min57s,0.0,500.0
4500,0h3min22s,0.0,500.0
5000,0h3min48s,0.0,500.0
5500,0h4min14s,0.0,500.0
6000,0h4min40s,0.0,500.0
6500,0h5min6s,0.0,500.0
7000,0h5min32s,0.0,500.0
7500,0h5min58s,0.0,500.0
8000,0h6min23s,0.0,500.0
8500,0h6min49s,0.0,500.0
9000,0h7min15s,0.0,500.0
9500,0h7min40s,0.0,500.0
10000,0h8min6s,0.0,500.0
10500,0h8min32s,0.0,500.0
11000,0h8min58s,0.0,500.0
11500,0h9min24s,0.0,500.0
12000,0h9min49s,0.0,500.0
12500,0h10min15s,0.0,500.0
13000,0h10min40s,0.0,500.0
13500,0h11min7s,0.0,500.0
14000,0h11min33s,0.0,500.0
14500,0h11min59s,0.0,500.0
15000,0h12min26s,0.0,500.0
15500,0h12min53s,0.0,500.0
16000,0h13min19s,0.0,500.0
16500,0h13min46s,0.0,500.0
17000,0h14min12s,0.0,500.0
17500,0h14min38s,0.0,500.0
18000,0h15min4s,0.0,500.0
18500,0h15min31s,0.0,500.0
19000,0h15min58s,0.0,500.0
19500,0h16min24s,0.0,500.0
20000,0h16min51s,0.0,500.0
20500,0h17min17s,0.0,500.0
21000,0h17min43s,0.0,500.0
21500,0h18min9s,0.0,500.0
22000,0h18min36s,0.0,500.0
22500,0h19min2s,0.0,500.0
23000,0h19min29s,0.0,500.0
23500,0h19min55s,0.0,500.0
24000,0h20min21s,0.0,500.0
24500,0h20min47s,0.0,500.0
25000,0h21min14s,0.0,500.0
25500,0h21min40s,0.0,500.0
26000,0h22min6s,0.0,500.0
26500,0h22min33s,0.0,500.0
27000,0h22min59s,0.0,500.0
27500,0h23min26s,0.0,500.0
28000,0h23min52s,0.0,500.0
28500,0h24min19s,0.0,500.0
29000,0h24min46s,0.0,500.0
29500,0h25min12s,0.0,500.0
30000,0h25min38s,0.0,500.0
30500,0h26min4s,0.0,500.0
31000,0h26min30s,0.0,500.0
31500,0h26min57s,0.0,500.0
32000,0h27min23s,0.0,500.0
32500,0h27min50s,0.0,500.0
33000,0h28min16s,0.0,500.0
33500,0h28min43s,0.0,500.0
34000,0h29min9s,0.0,500.0
34500,0h29min36s,0.0,500.0
35000,0h30min1s,0.0,500.0
35500,0h30min28s,0.0,500.0
36000,0h30min55s,0.0,500.0
36500,0h31min22s,0.0,500.0
37000,0h31min48s,0.0,500.0
37500,0h32min14s,0.0,500.0
38000,0h32min40s,0.0,500.0
38500,0h33min7s,0.0,500.0
39000,0h33min33s,0.0,500.0
39500,0h33min59s,0.0,500.0
40000,0h34min25s,0.0,500.0
40500,0h34min52s,0.0,500.0
41000,0h35min19s,0.0,500.0
41500,0h35min44s,0.0,500.0
42000,0h36min11s,0.0,500.0
42500,0h36min38s,0.0,500.0
43000,0h37min5s,0.0,500.0
43500,0h37min31s,0.0,500.0
44000,0h37min57s,0.0,500.0
44500,0h38min24s,0.0,500.0
45000,0h38min51s,0.0,500.0
45500,0h39min18s,0.0,500.0
46000,0h39min45s,0.0,500.0
46500,0h40min11s,0.0,500.0
47000,0h40min38s,0.0,500.0
47500,0h41min4s,0.0,500.0
48000,0h41min31s,0.0,500.0
48500,0h41min58s,0.0,500.0
49000,0h42min25s,0.0,500.0
49500,0h42min52s,0.0,500.0
50000,0h43min20s,0.0,500.0
50500,0h43min48s,0.0,500.0
51000,0h44min15s,0.0,500.0
51500,0h44min43s,0.0,500.0
52000,0h45min10s,0.0,500.0
52500,0h45min38s,0.0,500.0
53000,0h46min5s,0.0,500.0
53500,0h46min32s,0.0,500.0
54000,0h46min59s,0.0,500.0
54500,0h47min27s,0.0,500.0
55000,0h47min54s,0.0,500.0
55500,0h48min22s,0.0,500.0
56000,0h48min49s,0.0,500.0
56500,0h49min16s,0.0,500.0
57000,0h49min44s,0.0,500.0
57500,0h50min13s,0.0,500.0
58000,0h50min39s,0.0,500.0
58500,0h51min7s,0.0,500.0
59000,0h51min34s,0.0,500.0
59500,0h52min2s,0.0,500.0
60000,0h52min31s,0.0,500.0
60500,0h52min58s,0.0,500.0
61000,0h53min25s,0.0,500.0
61500,0h53min54s,0.0,500.0
62000,0h54min22s,0.0,500.0
62500,0h54min50s,0.0,500.0
63000,0h55min18s,0.0,500.0
63500,0h55min47s,0.0,500.0
64000,0h56min16s,0.0,500.0
64500,0h56min44s,0.0,500.0
65000,0h57min13s,0.0,500.0
65500,0h57min41s,0.0,500.0
66000,0h58min10s,0.0,500.0
66500,0h58min40s,0.0,500.0
67000,0h59min8s,0.0,500.0
67500,0h59min38s,0.0,500.0
68000,1h0min6s,0.0,500.0
68500,1h0min36s,0.0,500.0
69000,1h1min3s,0.0,500.0
69500,1h1min31s,0.0,500.0
70000,1h2min0s,0.0,500.0
70500,1h2min29s,0.0,500.0
71000,1h2min58s,0.0,500.0
71500,1h3min27s,0.0,500.0
72000,1h3min56s,0.0,500.0
72500,1h4min26s,0.0,500.0
73000,1h4min55s,0.0,500.0
73500,1h5min23s,0.0,500.0
74000,1h5min53s,0.0,500.0
74500,1h6min22s,0.0,500.0
75000,1h6min51s,0.0,500.0
75500,1h7min21s,0.0,500.0
76000,1h7min50s,0.0,500.0
76500,1h8min19s,0.0,500.0
77000,1h8min48s,0.0,500.0
77500,1h9min18s,0.0,500.0
78000,1h9min48s,0.0,500.0
78500,1h10min17s,0.0,500.0
79000,1h10min46s,0.0,500.0
79500,1h11min14s,0.0,500.0
80000,1h11min44s,0.0,500.0
80500,1h12min13s,0.0,500.0
81000,1h12min44s,0.0,500.0
81500,1h13min13s,0.0,500.0
82000,1h13min42s,0.0,500.0
82500,1h14min10s,0.0,500.0
83000,1h14min40s,0.0,500.0
83500,1h15min9s,0.0,500.0
84000,1h15min39s,0.0,500.0
84500,1h16min9s,0.0,500.0
85000,1h16min38s,0.0,500.0
85500,1h17min7s,0.0,500.0
86000,1h17min36s,0.0,500.0
86500,1h18min4s,0.0,500.0
87000,1h18min32s,0.0,500.0
87500,1h19min2s,0.0,500.0
88000,1h19min31s,0.0,500.0
88500,1h20min0s,0.0,500.0
89000,1h20min29s,0.0,500.0
89500,1h20min57s,0.0,500.0
90000,1h21min26s,0.0,500.0
90500,1h21min55s,0.0,500.0
91000,1h22min26s,0.0,500.0
91500,1h22min56s,0.0,500.0
92000,1h23min25s,0.0,500.0
92500,1h23min53s,0.0,500.0
93000,1h24min23s,0.0,500.0
93500,1h24min53s,0.0,500.0
94000,1h25min22s,0.0,500.0
94500,1h25min53s,0.0,500.0
95000,1h26min22s,0.0,500.0
95500,1h26min51s,0.0,500.0
96000,1h27min20s,0.0,500.0
96500,1h27min50s,0.0,500.0
97000,1h28min19s,0.0,500.0
97500,1h28min49s,0.0,500.0
98000,1h29min19s,0.0,500.0
98500,1h29min47s,0.0,500.0
99000,1h30min18s,0.0,500.0
99500,1h30min47s,0.0,500.0
100000,1h31min17s,0.0,500.0
100500,1h31min46s,0.0,500.0
101000,1h32min15s,0.0,500.0
101500,1h32min44s,0.0,500.0
102000,1h33min14s,0.0,500.0
102500,1h33min43s,0.0,500.0
103000,1h34min13s,0.0,500.0
103500,1h34min42s,0.0,500.0
104000,1h35min11s,0.0,500.0
104500,1h35min41s,0.0,500.0
105000,1h36min10s,0.0,500.0
105500,1h36min40s,0.0,500.0
106000,1h37min9s,0.0,500.0
106500,1h37min38s,0.0,500.0
107000,1h38min7s,0.0,500.0
107500,1h38min36s,0.0,500.0
108000,1h39min6s,0.0,500.0
108500,1h39min36s,0.0,500.0
109000,1h40min5s,0.0,500.0
109500,1h40min35s,0.0,500.0
110000,1h41min4s,0.0,500.0
110500,1h41min34s,0.0,500.0
111000,1h42min4s,0.0,500.0
111500,1h42min34s,0.0,500.0
112000,1h43min4s,0.0,500.0
112500,1h43min32s,0.0,500.0
113000,1h44min2s,0.0,500.0
113500,1h44min31s,0.0,500.0
114000,1h45min1s,0.0,500.0
114500,1h45min30s,0.0,500.0
115000,1h46min0s,0.0,500.0
115500,1h46min29s,0.0,500.0
116000,1h46min59s,0.0,500.0
116500,1h47min28s,0.0,500.0
117000,1h47min58s,0.0,500.0
117500,1h48min26s,0.0,500.0
118000,1h48min56s,0.0,500.0
118500,1h49min26s,0.0,500.0
119000,1h49min56s,0.0,500.0
119500,1h50min25s,0.0,500.0
120000,1h50min54s,0.0,500.0
120500,1h51min22s,0.0,500.0
121000,1h51min51s,0.0,500.0
121500,1h52min20s,0.0,500.0
122000,1h52min49s,0.0,500.0
122500,1h53min19s,0.0,500.0
123000,1h53min48s,0.0,500.0
123500,1h54min17s,0.0,500.0
124000,1h54min46s,0.0,500.0
124500,1h55min16s,0.0,500.0
125000,1h55min45s,0.0,500.0
125500,1h56min15s,0.0,500.0
126000,1h56min45s,0.0,500.0
126500,1h57min15s,0.0,500.0
127000,1h57min45s,0.0,500.0
127500,1h58min14s,0.0,500.0
128000,1h58min43s,0.0,500.0
128500,1h59min11s,0.0,500.0
129000,1h59min41s,0.0,500.0
129500,2h0min11s,0.0,500.0
130000,2h0min41s,0.0,500.0
130500,2h1min10s,0.0,500.0
131000,2h1min40s,0.0,500.0
131500,2h2min9s,0.0,500.0
132000,2h2min39s,0.0,500.0
132500,2h3min9s,0.0,500.0
133000,2h3min38s,0.0,500.0
133500,2h4min8s,0.0,500.0
134000,2h4min38s,0.0,500.0
134500,2h5min6s,0.0,500.0
135000,2h5min35s,0.0,500.0
135500,2h6min5s,0.0,500.0
136000,2h6min33s,0.0,500.0
136500,2h7min3s,0.0,500.0
137000,2h7min33s,0.0,500.0
137500,2h8min3s,0.0,500.0
138000,2h8min33s,0.0,500.0
138500,2h9min2s,0.0,500.0
139000,2h9min33s,0.0,500.0
139500,2h10min2s,0.0,500.0
140000,2h10min31s,0.0,500.0
140500,2h11min1s,0.0,500.0
141000,2h11min31s,0.0,500.0
141500,2h12min1s,0.0,500.0
142000,2h12min31s,0.0,500.0
142500,2h13min1s,0.0,500.0
143000,2h13min30s,0.0,500.0
143500,2h13min59s,0.0,500.0
144000,2h14min29s,0.0,500.0
144500,2h14min58s,0.0,500.0
145000,2h15min26s,0.0,500.0
145500,2h15min56s,0.0,500.0
146000,2h16min24s,0.0,500.0
146500,2h16min53s,0.0,500.0
147000,2h17min22s,0.0,500.0
147500,2h17min51s,0.0,500.0
148000,2h18min20s,0.0,500.0
148500,2h18min50s,0.0,500.0
149000,2h19min19s,0.0,500.0
149500,2h19min49s,0.0,500.0
150000,2h20min19s,0.0,500.0
150500,2h20min47s,0.0,500.0
151000,2h21min15s,0.0,500.0
151500,2h21min44s,0.0,500.0
152000,2h22min12s,0.0,500.0
152500,2h22min43s,0.0,500.0
153000,2h23min12s,0.0,500.0
153500,2h23min40s,0.0,500.0
154000,2h24min10s,0.0,500.0
154500,2h24min39s,0.0,500.0
155000,2h25min9s,0.0,500.0
155500,2h25min38s,0.0,500.0
156000,2h26min6s,0.0,500.0
156500,2h26min36s,0.0,500.0
157000,2h27min6s,0.0,500.0
157500,2h27min35s,0.0,500.0
158000,2h28min5s,0.0,500.0
158500,2h28min33s,0.0,500.0
159000,2h29min3s,0.0,500.0
159500,2h29min34s,0.0,500.0
160000,2h30min2s,0.0,500.0
160500,2h30min32s,0.0,500.0
161000,2h31min2s,0.0,500.0
161500,2h31min30s,0.0,500.0
162000,2h31min59s,0.0,500.0
162500,2h32min27s,0.0,500.0
163000,2h32min56s,0.0,500.0
163500,2h33min26s,0.0,500.0
164000,2h33min55s,0.0,500.0
164500,2h34min25s,0.0,500.0
165000,2h34min55s,0.0,500.0
165500,2h35min25s,0.0,500.0
