n_steps,time,mean_reward
4,0h3min57s,0.2
10,0h7min24s,0.17
14,0h9min17s,0.2
22,0h10min22s,0.22
31,0h14min13s,0.27
41,0h15min19s,0.25
53,0h16min25s,0.27
55,0h19min29s,0.26
65,0h20min32s,0.26
84,0h21min40s,0.27
116,0h22min41s,0.25
141,0h26min56s,0.26
172,0h28min6s,0.27
190,0h29min29s,0.28
219,0h30min59s,0.29
239,0h32min24s,0.29
305,0h33min44s,0.31
423,0h35min46s,0.33
536,0h36min55s,0.33
732,0h38min4s,0.33
973,0h39min12s,0.33
1386,0h40min23s,0.32
1651,0h41min27s,0.33
2749,0h44min35s,0.34
3289,0h46min9s,0.34
4322,0h48min46s,0.34
6961,0h52min15s,0.35
