n_steps,time,mean_reward
9,0h1min7s,0.12
23,0h2min9s,0.08
32,0h3min13s,0.07
49,0h4min26s,0.06
67,0h5min29s,0.06
90,0h6min36s,0.08
130,0h7min45s,0.07
157,0h8min59s,0.08
203,0h10min22s,0.08
261,0h11min48s,0.09
295,0h12min48s,0.09
340,0h13min52s,0.09
399,0h14min53s,0.1
418,0h15min59s,0.11
492,0h17min32s,0.15
571,0h18min47s,0.18
617,0h19min50s,0.19
784,0h20min54s,0.3
1084,0h21min57s,0.39
1412,0h22min57s,0.46
1747,0h23min57s,0.54
2078,0h25min3s,0.55
3071,0h26min4s,0.53
4017,0h27min9s,0.52
5911,0h28min10s,0.54
7834,0h29min10s,0.54
9741,0h30min10s,0.53
11437,0h31min10s,0.53
13333,0h32min10s,0.54
15200,0h33min10s,0.55
17116,0h34min10s,0.54
19030,0h35min10s,0.54
20954,0h36min11s,0.55
22868,0h37min11s,0.54
24793,0h38min11s,0.55
26708,0h39min11s,0.55
